Timestamp,Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,Label
100737,0.61,-0.24,1.53,0.28,0.15,0.95,Correct
101000,1.28,-0.85,1.71,0.1,0.97,-0.07,Wrong
101222,0.73,-0.79,1.46,0.12,0.14,0.99,Wrong
101531,0.92,-0.92,1.71,-0.03,0.04,1.01,Wrong
101541,1.83,7.08,9.52,0.1,0.37,0.96,Correct
101646,0.85,-0.98,1.4,-0.05,0.88,0.46,Correct
101737,0.85,0.49,0.98,0.31,0.16,0.94,Correct
102000,0.73,-0.67,1.53,0.1,0.97,-0.07,Wrong
102222,0.85,-0.79,1.46,0.12,0.14,0.99,Wrong
102531,0.67,-1.34,0.79,-0.02,0.03,1.01,Wrong
102541,0.24,10.01,14.77,0.08,0.31,0.89,Correct
102646,0.49,-0.49,1.59,-0.05,0.88,0.46,Correct
102737,0.79,-1.34,1.59,0.28,0.15,0.95,Correct
103000,0.79,-0.37,1.28,0.11,0.97,-0.07,Wrong
103222,0.79,-0.73,1.59,0.12,0.14,0.99,Wrong
103531,0.43,-0.49,1.16,-0.04,0.03,1.01,Wrong
